mse,psnr,ssim,image,algorithm,time_s,param_size,param_sigma,param_cutoff_fraction,param_wavelet,param_level,param_method
0.0011001911354353057,29.585318586109764,0.8004795493700156,astronaut_awgn,median,0.02336269999796059,3.0,,,,,
0.0013269265519340124,28.771531155474413,0.8016173908012582,astronaut_awgn,gaussian,0.0033430000039516017,,1.0,,,,
0.006105042315087026,22.143113215397197,0.5873371964722738,astronaut_awgn,fourier,0.018846200007828884,,,0.1,,,
0.000971555192092177,30.125325229692614,0.7494168706624639,astronaut_awgn,wavelet,0.01443460000155028,,,,db1,,bayes
0.000655344681706388,31.83530220633836,0.9571989774322326,astronaut_sp,median,0.019246699986979365,3.0,,,,,
0.0020568937302411086,26.867881456227742,0.7359199663097935,astronaut_sp,gaussian,0.0036484000011114404,,1.0,,,,
0.006243454906650309,22.045750206268615,0.5886858220118114,astronaut_sp,fourier,0.016603700001724064,,,0.1,,,
0.010144077127450184,19.937874574218576,0.5547036964824349,astronaut_sp,wavelet,0.013194700004532933,,,,db1,,bayes
